Date,Open,High,Low,Close,Adj Close,Volume
2022-12-21,70.089996,71.059998,69.690002,70.300003,70.233055,1203100
2022-12-22,69.699997,69.739998,67.930000,69.349998,69.283951,965700
2022-12-23,69.139999,69.330002,68.230003,69.010002,68.944283,580300
2022-12-27,69.199997,69.510002,68.769997,68.949997,68.884331,552200
2022-12-28,68.900002,69.099998,67.230003,67.269997,67.205933,463000
2022-12-29,67.809998,68.860001,67.809998,68.449997,68.384811,487800
2022-12-30,67.769997,68.360001,67.339996,68.199997,68.135048,719000
2023-01-03,68.800003,69.110001,66.959999,67.180000,67.116020,1054000
2023-01-04,67.760002,68.389999,65.639999,66.000000,65.937141,1141000
2023-01-05,65.419998,65.720001,64.739998,65.440002,65.377678,1840900
2023-01-06,66.320000,68.040001,65.620003,67.980003,67.915260,1171200
2023-01-09,68.790001,71.669998,68.790001,71.300003,71.232101,1963000
2023-01-10,71.300003,72.389999,71.169998,72.190002,72.121254,1406400
2023-01-11,71.980003,75.110001,71.760002,75.000000,74.928574,2535000
2023-01-12,74.980003,76.580002,74.809998,76.070000,75.997551,2215300
2023-01-13,75.279999,77.690002,75.180000,77.660004,77.586044,1514100
2023-01-17,76.900002,79.029999,76.879997,78.330002,78.255402,2245900
2023-01-18,78.750000,79.669998,78.110001,78.389999,78.315346,1901000
2023-01-19,77.470001,78.510002,77.199997,78.059998,77.985657,1404600
2023-01-20,78.290001,79.419998,77.730003,79.419998,79.344360,1370300
2023-01-23,79.599998,81.449997,79.559998,81.040001,80.962822,1811200
2023-01-24,80.000000,81.620003,80.000000,80.639999,80.563202,1241200
2023-01-25,79.059998,79.959999,78.419998,79.870003,79.793938,1264100
2023-01-26,80.360001,80.639999,77.500000,78.279999,78.205444,1671000
2023-01-27,77.650002,78.690002,77.180000,77.199997,77.126472,723200
2023-01-30,76.400002,77.209999,76.169998,76.800003,76.726860,872300
2023-01-31,77.099998,78.699997,76.559998,78.629997,78.555115,1329200
2023-02-01,77.860001,80.570000,77.720001,79.989998,79.913818,1762000
2023-02-02,80.550003,82.209999,80.199997,81.349998,81.272522,1639200
2023-02-03,80.500000,82.690002,80.500000,82.169998,82.091743,1665700
2023-02-06,81.320000,82.779999,80.860001,82.620003,82.541321,1192900
2023-02-07,82.959999,83.660004,81.720001,83.440002,83.360535,2014800
2023-02-08,82.680000,83.239998,81.959999,82.459999,82.381470,1115800
2023-02-09,83.230003,83.510002,80.959999,81.629997,81.552254,1728300
2023-02-10,81.070000,82.779999,80.910004,82.650002,82.571289,1092300
2023-02-13,82.629997,84.099998,82.339996,84.000000,83.919998,966500
2023-02-14,83.129997,84.879997,83.010002,84.360001,84.360001,814400
2023-02-15,83.500000,84.589996,83.449997,84.089996,84.089996,784300
2023-02-16,82.930000,84.919998,82.699997,84.709999,84.709999,1311300
2023-02-17,84.360001,84.680000,83.510002,83.839996,83.839996,1315000
2023-02-21,83.709999,84.639999,82.449997,82.680000,82.680000,1094600
2023-02-22,82.349998,83.169998,81.650002,82.419998,82.419998,1068200
2023-02-23,83.500000,83.750000,81.930000,83.080002,83.080002,656700
2023-02-24,81.389999,83.410004,81.279999,83.370003,83.370003,1084600
2023-02-27,84.010002,84.669998,83.169998,83.510002,83.510002,801600
2023-02-28,83.279999,83.709999,82.680000,83.029999,83.029999,1292900
2023-03-01,83.360001,84.809998,82.800003,84.190002,84.190002,1185200
2023-03-02,83.489998,84.330002,82.680000,84.139999,84.139999,912300
2023-03-03,84.500000,85.699997,84.300003,85.269997,85.269997,972800
2023-03-06,85.379997,85.680000,84.250000,84.510002,84.510002,1479800
2023-03-07,84.639999,85.089996,83.459999,84.040001,84.040001,770200
2023-03-08,84.529999,85.190002,84.070000,84.839996,84.839996,715800
2023-03-09,85.160004,85.440002,83.190002,83.370003,83.370003,883600
2023-03-10,83.040001,83.489998,81.510002,81.910004,81.910004,1088600
2023-03-13,80.239998,82.610001,80.000000,81.349998,81.349998,1057800
2023-03-14,83.080002,83.870003,81.580002,82.949997,82.949997,1605700
2023-03-15,80.459999,80.709999,78.529999,80.330002,80.330002,2286600
2023-03-16,80.029999,80.029999,74.160004,78.370003,78.370003,3107600
2023-03-17,78.379997,79.349998,77.139999,78.959999,78.959999,3090600
2023-03-20,79.540001,81.300003,79.430000,81.099998,81.099998,1667200
2023-03-21,82.410004,82.769997,81.050003,82.540001,82.540001,1225900
2023-03-22,82.370003,84.099998,82.010002,82.330002,82.330002,1704800
2023-03-23,82.930000,84.739998,82.260002,83.139999,83.139999,1672500
2023-03-24,82.459999,83.519997,81.620003,83.370003,83.370003,1361200
2023-03-27,83.660004,84.000000,82.599998,82.980003,82.980003,837500
2023-03-28,83.360001,83.430000,82.290001,83.239998,83.239998,1140200
2023-03-29,83.830002,84.980003,83.279999,84.620003,84.620003,948100
2023-03-30,85.199997,86.800003,85.029999,86.739998,86.739998,988500
2023-03-31,86.879997,88.300003,86.739998,88.160004,88.160004,1332100
2023-04-03,88.199997,89.099998,86.650002,87.459999,87.459999,1133900
2023-04-04,87.309998,87.459999,84.449997,85.099998,85.099998,1117100
2023-04-05,84.500000,84.529999,81.949997,83.199997,83.199997,1106000
2023-04-06,82.599998,83.260002,81.870003,82.080002,82.080002,818500
2023-04-10,81.849998,83.610001,81.849998,83.050003,83.050003,1112500
2023-04-11,83.199997,83.940002,82.709999,83.120003,83.120003,881500
2023-04-12,83.529999,84.269997,83.349998,83.440002,83.440002,819900
2023-04-13,83.919998,84.540001,82.639999,84.110001,84.110001,899400
2023-04-14,83.750000,85.089996,82.849998,83.760002,83.760002,732100
2023-04-17,83.599998,84.010002,83.110001,83.519997,83.519997,471600
2023-04-18,84.169998,84.900002,83.519997,84.160004,84.160004,675500
2023-04-19,83.540001,83.540001,80.930000,81.709999,81.709999,1414000
2023-04-20,80.769997,82.239998,80.349998,81.389999,81.389999,868600
2023-04-21,80.639999,81.160004,78.250000,78.809998,78.809998,1605800
